시도교육청,학교도로명주소,학교도로명상세주소,"정보공시 
학교코드",학교명,홈페이지주소,설립구분,전화번호,남녀공학구분,"주 출입구 
접근로 
설치여부","장애인 전용 주차구역 
지정여부","주출입구 
높이차이 
제거여부",복도,"계단/승강기/
경사로/
휠체어리프트 유무","장애인용 대변기 
설치여부","장애인용 소변기 
설치여부"," 점자블록 
설치여부"," 유도 및 안내설비 
설치여부"," 경보 및 피난설비 
설치여부"
<<<<<<< HEAD,광주광역시 북구 필문대로 55,"(풍향동,광주교육대학교)",,,http://busok.gnue.ac.kr/,,062-520-4363,남녀공학,,,,,,,,,,
광주광역시교육청,광주광역시 북구 각화대로39번길 10,"(각화동,각화초등학교)",S000003503,광주교육대학교광주부설초등학교,www.gakhwa.es.kr,국립,062-260-2600,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 북문대로98번길 20,", 경양초등학교 (운암동)",S050000210,각화초등학교,http://www.kyungyaung.es.kr,공립,062-520-8303,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 동구 중앙로 320,(계림동),S050000211,경양초등학교,http://www.gyelim.es.kr,공립,062-221-8700,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 동구 지원로5번길 20,", 광주남초등학교 (소태동)",S050000212,광주계림초등학교,http://k-nam.es.kr/,공립,062-220-1602,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 동구 준법로 16,", 광주동산초등학교 (지산동)",S050000213,광주남초등학교,www.k-dongsan.es.kr,공립,062-230-9291,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 북문대로8번길 21,"(운암동,동운초등학교)",S050000214,광주동산초등학교,http://www.dongun.es.kr,공립,062-520-5500,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 석곡로 527,"(망월동,광주동초등학교)",S050000215,광주동운초등학교,www.dong.es.kr,공립,062-250-2700,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 충효샘길 14-30,(충효동),S050000216,광주동초등학교,www.dong.es.kr,공립,062-528-6423,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 군왕로 135,"(두암동,광주문화초등학교)",S050000218,광주동초등학교충효분교장,http://k-munhwa.es.kr,공립,062-260-2002,남녀공학,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 동구 산수길 28,"(산수동,산수초등학교)",S050000219,광주문화초등학교,www.sansu.es.kr,공립,06-221-8602,남녀공학,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 서림로 113,", 광주서림초등학교 (임동)",S050000221,광주산수초등학교,http://www.seorim.es.kr,공립,062-520-8605,남녀공학,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 우치로 263,(오치동),S050000222,광주서림초등학교,http://www.kseosan.es.kr,공립,062-260-8800,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
광주광역시교육청,광주광역시 동구 제봉로82번길 26,(서석동),S050000223,광주서산초등학교,http://www.seoseok.es.kr.,공립,062-220-8100,남녀공학,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 금남로 99,"(북동,수창초등학교)",S050000224,광주서석초등학교,http://soochang.es.kr/,공립,062-520-2700,남녀공학,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 연양로 33,(양산동)양산초등학교,S050000225,광주수창초등학교,,공립,062-570-8802,남녀공학,단순설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 서암대로144번길 11,(신안동),S050000226,광주양산초등학교,http://www.k-yongbong.es.kr,공립,062-510-4202,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 동구 화산로 334,(용산동),S050000227,광주용봉초등학교,http://www.k-yongsan.es.kr,공립,062-230-0004,남녀공학,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 서방로63번길 67,"(우산동,우산초등학교)",S050000228,광주용산초등학교,http://www.woosan.es.kr,공립,062-260-1702,남녀공학,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 서강로 79-14,(운암동),S050000229,광주우산초등학교,http://www.k-unam.es.kr,공립,062-520-5400,남녀공학,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 동구 무등로 533,"(산수동,장원초등학교)",S050000230,광주운암초등학교,http://www.k-jangwon.es.kr,공립,062-250-3800,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 동구 제봉로 167,(궁동),S050000231,광주장원초등학교,www.k-jungang.es.kr,공립,062-220-8204,남녀공학,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 경양로197번길 25,"(중흥동,중흥초등학교)",S050000233,광주중앙초등학교,http://www.kjh.es.kr,공립,062-612-9903,남녀공학,단순설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 하서로 637,(지야동),S050000234,광주중흥초등학교,http://www.k-jisan.es.kr/,공립,062-570-9500,남녀공학,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 군왕로 51,", 77 (두암동)",S050000235,광주지산초등학교,http://www.punghyang.es.kr,공립,062-609-1104,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 동구 의재로 181,", 광주학운초등학교 (운림동)",S050000239,광주풍향초등학교,http://www.hakwoon.es.kr,공립,062-220-1701,남녀공학,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 서양로 99,", 광주효동초등학교 (중흥동)",S050000240,광주학운초등학교,http://www.ghd.es.kr,공립,062-520-2800,남녀공학,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 대자로 5,", 대자초등학교 (운암동)",S050000241,광주효동초등학교,http://www.daeja.es.kr/,공립,062-520-3103,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 동림용산로 7,"(동림동,동림초등학교)",S050000242,대자초등학교,www.dongrim.es.kr,공립,062-520-6601,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 참판로 130,"(두암동,두암초등학교)",S050000243,동림초등학교,http://www.duam.es.kr,공립,062-250-6603,남녀공학,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 초당로 25,", 매곡초등학교 (매곡동)",S050000244,두암초등학교,http://k-maegok.es.kr,공립,062-570-5800,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 면앙로 99,(우산동),S050000245,매곡초등학교,http://mudeung.es.kr,공립,062-260-3802,남녀공학,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치
